PARAMETER,LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CLRSKY_SFC_SW_DWN,28.25,79.75,5.88,5.56,5.48,5.48,5.5,5.6,5.58,5.49,5.4,5.52,5.46,5.43,5.45,5.47,5.48,5.45,5.35,5.42,5.37,5.36,5.42
CLRSKY_SFC_SW_DWN,28.25,80.25,6.08,5.7,5.62,5.71,5.68,5.73,5.7,5.62,5.55,5.69,5.66,5.57,5.61,5.6,5.68,5.62,5.49,5.55,5.53,5.56,5.56
CLRSKY_SFC_SW_DWN,28.25,80.75,6.08,5.7,5.62,5.71,5.68,5.73,5.7,5.62,5.55,5.69,5.66,5.57,5.61,5.6,5.68,5.62,5.49,5.55,5.53,5.56,5.56
CLRSKY_SFC_SW_DWN,28.25,81.25,6.5,5.78,5.69,5.79,5.75,5.81,5.78,5.7,5.63,5.77,5.74,5.66,5.69,5.68,5.76,5.69,5.58,5.63,5.61,5.64,5.64
CLRSKY_SFC_SW_DWN,28.25,81.75,6.5,5.78,5.69,5.79,5.75,5.81,5.78,5.7,5.63,5.77,5.74,5.66,5.69,5.68,5.76,5.69,5.58,5.63,5.61,5.64,5.64
CLRSKY_SFC_SW_DWN,28.25,82.25,6.84,6.2,6.07,6.21,6.14,6.18,6.16,6.09,6.06,6.18,6.16,6.07,6.11,6.08,6.18,6.1,5.99,6.05,6.01,6.04,6.04
CLRSKY_SFC_SW_DWN,28.25,82.75,6.84,6.2,6.07,6.21,6.14,6.18,6.16,6.09,6.06,6.18,6.16,6.07,6.11,6.08,6.18,6.1,5.99,6.05,6.01,6.04,6.04
CLRSKY_SFC_SW_DWN,28.25,83.25,7.15,6.56,6.44,6.53,6.47,6.52,6.5,6.44,6.45,6.53,6.51,6.45,6.52,6.5,6.55,6.42,6.34,6.41,6.35,6.39,6.42
CLRSKY_SFC_SW_DWN,28.25,83.75,7.15,6.56,6.44,6.53,6.47,6.52,6.5,6.44,6.45,6.53,6.51,6.45,6.52,6.5,6.55,6.42,6.34,6.41,6.35,6.39,6.42
CLRSKY_SFC_SW_DWN,28.25,84.25,7.25,6.66,6.54,6.64,6.57,6.64,6.62,6.56,6.57,6.64,6.61,6.56,6.62,6.62,6.66,6.54,6.44,6.52,6.45,6.5,6.53
CLRSKY_SFC_SW_DWN,28.25,84.75,7.25,6.66,6.54,6.64,6.57,6.64,6.62,6.56,6.57,6.64,6.61,6.56,6.62,6.62,6.66,6.54,6.44,6.52,6.45,6.5,6.53
CLRSKY_SFC_SW_DWN,28.25,85.25,7.4,6.91,6.87,6.9,6.79,6.89,6.87,6.83,6.82,6.87,6.83,6.83,6.91,6.96,6.86,6.73,6.66,6.75,6.65,6.76,6.81
CLRSKY_SFC_SW_DWN,28.25,85.75,7.4,6.91,6.87,6.9,6.79,6.89,6.87,6.83,6.82,6.87,6.83,6.83,6.91,6.96,6.86,6.73,6.66,6.75,6.65,6.76,6.81
CLRSKY_SFC_SW_DWN,28.25,86.25,7.41,6.99,6.94,6.97,6.87,6.98,6.96,6.92,6.9,6.96,6.91,6.91,7.0,7.03,6.94,6.79,6.74,6.82,6.73,6.83,6.88
