PARAMETER,LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALLSKY_SFC_SW_DWN,28.25,85.25,5.4,5.17,4.87,4.96,4.84,4.74,4.86,4.81,4.94,5.12,5.02,4.76,4.98,4.66,4.79,4.69,4.85,4.96,4.84,4.8,4.81
ALLSKY_SFC_SW_DWN,28.25,85.75,5.4,5.17,4.87,4.96,4.84,4.74,4.86,4.81,4.94,5.12,5.02,4.76,4.98,4.66,4.79,4.69,4.85,4.96,4.84,4.8,4.81
ALLSKY_SFC_SW_DWN,28.25,86.25,5.74,5.66,5.37,5.45,5.43,5.54,5.42,5.39,5.5,5.62,5.52,5.21,5.6,5.19,5.36,5.18,5.26,5.34,5.2,5.27,5.3
ALLSKY_SFC_SW_DWN,28.25,86.75,5.74,5.66,5.37,5.45,5.43,5.54,5.42,5.39,5.5,5.62,5.52,5.21,5.6,5.19,5.36,5.18,5.26,5.34,5.2,5.27,5.3
ALLSKY_SFC_SW_DWN,28.25,87.25,5.81,5.67,5.6,5.57,5.58,5.69,5.59,5.61,5.55,5.72,5.61,5.45,5.74,5.44,5.51,5.4,5.38,5.35,5.17,5.28,5.34
ALLSKY_SFC_SW_DWN,28.25,87.75,5.81,5.67,5.6,5.57,5.58,5.69,5.59,5.61,5.55,5.72,5.61,5.45,5.74,5.44,5.51,5.4,5.38,5.35,5.17,5.28,5.34
ALLSKY_SFC_SW_DWN,28.25,88.25,6.0,5.59,5.54,5.49,5.45,5.58,5.55,5.61,5.41,5.67,5.58,5.44,5.73,5.5,5.53,5.46,5.34,5.36,5.19,5.32,5.34
ALLSKY_SFC_SW_DWN,28.75,79.75,5.1,4.81,4.76,4.54,4.77,4.83,4.89,4.74,4.54,4.94,4.62,4.62,4.76,4.57,4.75,4.71,4.67,4.7,4.56,4.58,4.59
ALLSKY_SFC_SW_DWN,28.75,80.25,5.17,4.7,4.77,4.63,4.8,4.83,4.84,4.67,4.54,4.93,4.66,4.6,4.73,4.53,4.72,4.65,4.6,4.73,4.63,4.65,4.58
ALLSKY_SFC_SW_DWN,28.75,80.75,5.17,4.7,4.77,4.63,4.8,4.83,4.84,4.67,4.54,4.93,4.66,4.6,4.73,4.53,4.72,4.65,4.6,4.73,4.63,4.65,4.58
ALLSKY_SFC_SW_DWN,28.75,81.25,5.4,4.59,4.63,4.65,4.72,4.73,4.71,4.58,4.51,4.81,4.66,4.6,4.7,4.45,4.71,4.56,4.55,4.67,4.65,4.6,4.52
ALLSKY_SFC_SW_DWN,28.75,81.75,5.4,4.59,4.63,4.65,4.72,4.73,4.71,4.58,4.51,4.81,4.66,4.6,4.7,4.45,4.71,4.56,4.55,4.67,4.65,4.6,4.52
ALLSKY_SFC_SW_DWN,28.75,82.25,5.31,4.61,4.56,4.74,4.73,4.72,4.69,4.69,4.72,5.01,4.93,4.72,4.88,4.59,4.95,4.76,4.71,4.74,4.73,4.64,4.56
ALLSKY_SFC_SW_DWN,28.75,82.75,5.31,4.61,4.56,4.74,4.73,4.72,4.69,4.69,4.72,5.01,4.93,4.72,4.88,4.59,4.95,4.76,4.71,4.74,4.73,4.64,4.56
ALLSKY_SFC_SW_DWN,28.75,83.25,5.14,4.75,4.52,4.6,4.56,4.55,4.59,4.57,4.62,4.9,4.88,4.63,4.79,4.54,4.76,4.6,4.66,4.61,4.57,4.53,4.45
ALLSKY_SFC_SW_DWN,28.75,83.75,5.14,4.75,4.52,4.6,4.56,4.55,4.59,4.57,4.62,4.9,4.88,4.63,4.79,4.54,4.76,4.6,4.66,4.61,4.57,4.53,4.45
ALLSKY_SFC_SW_DWN,28.75,84.25,5.09,4.75,4.45,4.6,4.51,4.43,4.57,4.45,4.53,4.74,4.7,4.44,4.66,4.41,4.56,4.44,4.54,4.61,4.52,4.49,4.43
ALLSKY_SFC_SW_DWN,28.75,84.75,5.09,4.75,4.45,4.6,4.51,4.43,4.57,4.45,4.53,4.74,4.7,4.44,4.66,4.41,4.56,4.44,4.54,4.61,4.52,4.49,4.43
ALLSKY_SFC_SW_DWN,28.75,85.25,5.4,5.17,4.87,4.96,4.84,4.74,4.86,4.81,4.94,5.12,5.02,4.76,4.98,4.66,4.79,4.69,4.85,4.96,4.84,4.8,4.81
ALLSKY_SFC_SW_DWN,28.75,85.75,5.4,5.17,4.87,4.96,4.84,4.74,4.86,4.81,4.94,5.12,5.02,4.76,4.98,4.66,4.79,4.69,4.85,4.96,4.84,4.8,4.81
ALLSKY_SFC_SW_DWN,28.75,86.25,5.74,5.66,5.37,5.45,5.43,5.54,5.42,5.39,5.5,5.62,5.52,5.21,5.6,5.19,5.36,5.18,5.26,5.34,5.2,5.27,5.3
ALLSKY_SFC_SW_DWN,28.75,86.75,5.74,5.66,5.37,5.45,5.43,5.54,5.42,5.39,5.5,5.62,5.52,5.21,5.6,5.19,5.36,5.18,5.26,5.34,5.2,5.27,5.3
ALLSKY_SFC_SW_DWN,28.75,87.25,5.81,5.67,5.6,5.57,5.58,5.69,5.59,5.61,5.55,5.72,5.61,5.45,5.74,5.44,5.51,5.4,5.38,5.35,5.17,5.28,5.34
ALLSKY_SFC_SW_DWN,28.75,87.75,5.81,5.67,5.6,5.57,5.58,5.69,5.59,5.61,5.55,5.72,5.61,5.45,5.74,5.44,5.51,5.4,5.38,5.35,5.17,5.28,5.34
ALLSKY_SFC_SW_DWN,28.75,88.25,6.0,5.59,5.54,5.49,5.45,5.58,5.55,5.61,5.41,5.67,5.58,5.44,5.73,5.5,5.53,5.46,5.34,5.36,5.19,5.32,5.34
ALLSKY_SFC_SW_DWN,29.25,79.75,5.3,4.97,4.94,4.96,5.06,4.95,4.99,4.85,4.65,5.06,4.91,4.78,4.85,4.71,4.9,4.81,4.84,4.91,4.86,4.78,4.86
ALLSKY_SFC_SW_DWN,29.25,80.25,5.14,5.05,4.96,5.1,5.14,5.03,5.03,4.96,4.87,5.27,5.13,4.93,5.02,4.93,5.1,5.01,5.05,5.04,5.04,4.93,4.98
ALLSKY_SFC_SW_DWN,29.25,80.75,5.14,5.05,4.96,5.1,5.14,5.03,5.03,4.96,4.87,5.27,5.13,4.93,5.02,4.93,5.1,5.01,5.05,5.04,5.04,4.93,4.98
ALLSKY_SFC_SW_DWN,29.25,81.25,5.2,4.92,4.8,4.93,4.97,4.77,4.84,4.74,4.62,5.03,4.99,4.7,4.79,4.7,4.91,4.85,4.91,4.77,4.85,4.68,4.74
ALLSKY_SFC_SW_DWN,29.25,81.75,5.2,4.92,4.8,4.93,4.97,4.77,4.84,4.74,4.62,5.03,4.99,4.7,4.79,4.7,4.91,4.85,4.91,4.77,4.85,4.68,4.74
ALLSKY_SFC_SW_DWN,29.25,82.25,5.11,5.15,5.04,5.15,5.19,4.97,5.0,4.99,4.89,5.32,5.28,4.91,5.11,5.03,5.14,5.41,5.16,4.94,5.2,4.95,5.01
ALLSKY_SFC_SW_DWN,29.25,82.75,5.11,5.15,5.04,5.15,5.19,4.97,5.0,4.99,4.89,5.32,5.28,4.91,5.11,5.03,5.14,5.41,5.16,4.94,5.2,4.95,5.01
ALLSKY_SFC_SW_DWN,29.25,83.25,5.76,5.87,5.7,5.75,5.98,5.65,5.63,5.71,5.69,6.1,5.98,5.65,5.85,5.64,5.7,5.88,5.87,5.57,5.82,5.67,5.76
ALLSKY_SFC_SW_DWN,29.25,83.75,5.76,5.87,5.7,5.75,5.98,5.65,5.63,5.71,5.69,6.1,5.98,5.65,5.85,5.64,5.7,5.88,5.87,5.57,5.82,5.67,5.76
ALLSKY_SFC_SW_DWN,29.25,84.25,5.84,6.09,6.03,6.02,6.14,5.77,5.91,5.96,5.97,6.21,6.07,5.96,6.03,5.93,5.92,6.13,6.02,5.81,5.87,5.79,5.85
ALLSKY_SFC_SW_DWN,29.25,84.75,5.84,6.09,6.03,6.02,6.14,5.77,5.91,5.96,5.97,6.21,6.07,5.96,6.03,5.93,5.92,6.13,6.02,5.81,5.87,5.79,5.85
ALLSKY_SFC_SW_DWN,29.25,85.25,5.78,5.98,5.93,5.94,5.97,5.61,5.83,5.84,5.85,6.09,5.98,5.8,5.88,5.66,5.82,5.9,5.84,5.72,5.68,5.62,5.74
ALLSKY_SFC_SW_DWN,29.25,85.75,5.78,5.98,5.93,5.94,5.97,5.61,5.83,5.84,5.85,6.09,5.98,5.8,5.88,5.66,5.82,5.9,5.84,5.72,5.68,5.62,5.74
ALLSKY_SFC_SW_DWN,29.25,86.25,5.8,5.85,5.74,5.77,5.79,5.67,5.74,5.86,5.87,6.09,5.95,5.77,5.94,5.69,5.83,5.87,5.75,5.72,5.65,5.63,5.73
ALLSKY_SFC_SW_DWN,29.25,86.75,5.8,5.85,5.74,5.77,5.79,5.67,5.74,5.86,5.87,6.09,5.95,5.77,5.94,5.69,5.83,5.87,5.75,5.72,5.65,5.63,5.73
